Data;Area desmatada;uf;municipio
18/03/2019;2.2;MT;Itanhanga
27/02/2018;0.22;PA;Altamira
03/10/2021;0.71;PA;Altamira
23/08/2020;0.11;AC;Brasileia
23/08/2020;0.11;AC;Brasileia
03/10/2021;1.25;PA;Altamira
21/01/2018;0.08;MA;Presidente Juscelino
10/01/2019;0.07;RO;Pimenteiras do Oeste
06/08/2021;0.07;MT;Nova Bandeirantes
03/08/2019;0.19;MT;Nova Bandeirantes
24/09/2022;0.28;MT;Matupa
23/08/2020;0.14;AC;Manoel Urbano
22/09/2021;0.14;PA;Trairao
09/10/2016;1.53;MT;Canarana
03/10/2021;0.88;PA;Altamira
23/01/2018;0.07;PA;Almeirim
03/10/2021;0.06;AM;Apui
21/01/2018;0.49;PA;Moju
21/01/2018;0.63;PA;Moju
21/01/2018;1.23;MA;Açailandia
21/01/2018;0.11;MA;Gonçalves Dias
23/08/2020;0.12;AC;Manoel Urbano
21/01/2018;0.06;MA;Governador Archer
24/09/2022;0.02;MT;Matupa
03/10/2021;0.52;PA;Altamira
24/08/2019;0.07;PA;Itaituba
22/09/2021;0.33;PA;Itaituba
19/01/2019;0.18;MT;Feliz Natal
09/10/2016;0.59;MT;Gaucha do Norte
24/09/2022;3.18;MT;Matupa
24/08/2019;0.14;PA;Placas
22/09/2021;0.11;PA;Trairao
19/01/2019;0.23;MT;Feliz Natal
09/10/2016;0.21;MT;Ribeirao Cascalheira
23/08/2020;0.07;AC;Feijo
23/08/2020;0.07;AM;Guajara
03/10/2021;0.1;AM;Maues
03/10/2021;0.19;PA;Juruti
30/01/2018;0.07;MA;Itapecuru Mirim
24/09/2022;0.45;PA;Sao Felix do Xingu
03/10/2021;0.01;PA;Jacareacanga
23/01/2018;1.63;PA;Moju
29/08/2020;0.12;AC;Feijo
24/08/2019;0.07;PA;Placas
19/01/2019;1.31;MT;Feliz Natal
30/01/2018;0.33;MA;Arari
23/08/2020;0.25;AC;Feijo
03/10/2021;0.09;PA;Trairao
23/08/2020;0.09;AC;Xapuri
03/10/2021;0.13;PA;Trairao
03/10/2021;0.19;PA;Trairao
30/01/2018;0.14;MA;Itapecuru Mirim
24/09/2022;0.12;PA;Sao Felix do Xingu
30/01/2018;0.03;MA;Presidente Vargas
22/09/2021;1.22;PA;Trairao
19/01/2019;0.62;MT;Feliz Natal
30/01/2018;0.04;MA;Itapecuru Mirim
10/02/2018;0.13;PA;Rondon do Para
23/08/2020;0.06;AC;Brasileia
24/09/2022;0.42;MT;Matupa
23/08/2020;0.06;AC;Xapuri
14/08/2019;0.06;RO;Alto Paraiso
22/09/2021;0.17;PA;Trairao
19/01/2019;1.01;MT;Feliz Natal
03/10/2021;0.07;PA;Altamira
03/10/2021;0.1;PA;Altamira
30/01/2018;0.12;MA;Itapecuru Mirim
30/01/2018;0.19;MA;Bom Jardim
23/08/2020;0.14;AC;Epitaciolandia
23/08/2020;0.07;AC;Manoel Urbano
24/09/2022;0.88;PA;Sao Felix do Xingu
14/08/2019;0.39;RO;Buritis
22/09/2021;0.59;PA;Itaituba
09/10/2016;0.44;MT;Ribeirao Cascalheira
19/01/2019;1.09;MT;Nova Maringa
23/08/2020;0.09;AC;Rio Branco
23/08/2020;0.08;AC;Assis Brasil
03/10/2021;0.17;PA;Trairao
23/08/2020;0.09;AC;Manoel Urbano
24/09/2022;0.51;PA;Sao Felix do Xingu
24/08/2019;0.18;PA;Altamira
09/10/2016;1.84;MT;Querencia
19/01/2019;1.01;MT;Nova Maringa
20/09/2019;0.11;AC;Brasileia
03/10/2021;0.07;PA;Altamira
23/08/2020;0.07;AC;Brasileia
03/10/2021;1.06;PA;Novo Progresso
24/09/2022;0.09;PA;Sao Felix do Xingu
23/08/2020;0.11;AC;Brasileia
03/10/2021;0.06;PA;Novo Progresso
24/08/2019;0.08;PA;Placas
22/09/2021;0.19;PA;Trairao
19/01/2019;0.24;MT;Feliz Natal
09/10/2016;0.64;MT;Ribeirao Cascalheira
23/08/2020;0.03;AC;Xapuri
30/01/2018;0.1;MA;Itapecuru Mirim
23/08/2020;0.09;AC;Rio Branco
23/08/2020;0.09;AC;Rio Branco
23/08/2020;0.1;AC;Bujari
30/01/2018;0.06;MA;Vargem Grande
23/08/2020;0.12;AC;Brasileia
16/08/2022;0.17;PA;Pacaja
24/09/2022;0.22;PA;Sao Felix do Xingu
14/08/2019;0.13;RO;Alto Paraiso
22/09/2021;0.12;PA;Altamira
24/08/2019;0.07;PA;Placas
09/10/2016;1.01;MT;Ribeirao Cascalheira
03/10/2021;0.11;PA;Altamira
03/10/2021;0.09;PA;Jacareacanga
30/01/2018;0.1;MA;Cantanhede
30/01/2018;0.08;MA;Vargem Grande
23/08/2020;0.12;AC;Assis Brasil
30/01/2018;0.09;MA;Vargem Grande
30/01/2018;0.09;MA;Vargem Grande
02/08/2019;0.09;AC;Manoel Urbano
06/08/2021;0.19;MT;Apiacas
10/01/2019;0.34;MT;Comodoro
24/09/2022;0.48;MT;Peixoto de Azevedo
24/08/2019;0.07;PA;Placas
22/09/2021;0.91;PA;Trairao
19/01/2019;0.25;MT;Nova Ubirata
09/10/2016;0.59;MT;Novo Santo Antonio
27/02/2018;0.18;PA;Uruara
23/08/2020;0.08;AC;Capixaba
03/10/2021;0.16;PA;Ruropolis
24/09/2022;1.43;MT;Guaranta do Norte
23/08/2020;0.12;AC;Feijo
22/09/2021;0.07;PA;Trairao
23/08/2020;0.07;AC;Feijo
03/10/2021;0.17;PA;Placas
24/09/2022;1.44;PA;Sao Felix do Xingu
22/09/2021;0.1;PA;Trairao
18/03/2019;0.38;MT;Canarana
10/02/2018;0.24;PA;Acara
10/02/2018;0.56;PA;Moju
10/02/2018;0.39;PA;Moju
27/02/2018;0.33;PA;Altamira
03/10/2021;0.2;PA;Santarem
27/02/2018;0.13;PA;Altamira
03/10/2021;0.75;PA;Placas
24/02/2018;0.13;PA;Portel
24/09/2022;0.14;PA;Sao Felix do Xingu
16/02/2018;0.28;MA;Bom Jesus das Selvas
24/08/2019;0.21;PA;Itaituba
22/09/2021;0.39;PA;Itaituba
09/10/2016;0.11;MT;Querencia
18/03/2019;1.35;MT;Ribeirao Cascalheira
23/08/2020;0.08;AC;Rio Branco
10/02/2018;2.34;PA;Paragominas
16/02/2018;0.4;PA;agua Azul do Norte
10/02/2018;0.22;PA;Acara
10/02/2018;0.5;PA;Rondon do Para
10/02/2018;0.11;PA;Rondon do Para
10/02/2018;0.12;PA;Rondon do Para
10/02/2018;0.12;PA;Rondon do Para
24/09/2022;0.07;PA;Sao Felix do Xingu
10/02/2018;0.07;PA;Rondon do Para
03/10/2021;0.13;PA;Uruara
24/08/2019;0.11;PA;Trairao
18/03/2019;0.14;MT;Feliz Natal
18/11/2017;0.14;PA;Goianesia do Para
03/10/2021;0.14;PA;Uruara
18/11/2017;3.55;PA;Goianesia do Para
16/02/2018;0.18;TO;Wanderlandia
